date,open,high,low,close,adj_close,volume
2018-03-20,132.000000,136.800003,130.699997,135.850006,135.850006,27633823
2018-03-21,137.449997,138.600006,134.550003,135.600006,135.600006,14924805
2018-03-22,135.250000,137.000000,133.500000,134.949997,134.949997,16863181
2018-03-23,130.899994,134.500000,129.800003,133.199997,133.199997,14793481
2018-03-26,133.500000,142.899994,133.000000,141.500000,141.500000,21487326
2018-03-27,146.000000,146.649994,142.000000,143.699997,143.699997,16874932
2018-03-28,142.500000,146.500000,140.899994,142.300003,142.300003,20519812
2018-04-02,142.600006,144.500000,140.350006,141.899994,141.899994,8494352
2018-04-03,144.149994,148.199997,143.649994,145.350006,145.350006,15187662
2018-04-04,145.850006,146.949997,139.000000,139.899994,139.899994,11729950
2018-04-05,143.000000,150.300003,140.800003,147.800003,147.800003,18912195
2018-04-06,148.149994,151.500000,145.899994,150.399994,150.399994,19705149
2018-04-09,151.399994,155.300003,150.149994,153.300003,153.300003,18011329
2018-04-10,153.899994,154.550003,151.550003,153.250000,153.250000,14260591
2018-04-11,152.750000,153.000000,149.199997,150.600006,150.600006,8762706
2018-04-12,150.199997,152.850006,148.199997,148.850006,148.850006,11018571
2018-04-13,149.000000,152.750000,149.000000,150.449997,150.449997,11219297
2018-04-16,149.000000,151.100006,147.600006,149.850006,149.850006,8254895
2018-04-17,150.000000,151.750000,147.399994,147.850006,147.850006,9233324
2018-04-18,148.500000,149.149994,140.850006,141.649994,141.649994,17171761
2018-04-19,142.500000,146.350006,140.600006,145.350006,145.350006,12771517
2018-04-20,144.800003,145.000000,140.949997,143.600006,143.600006,10752076
2018-04-23,143.949997,145.800003,141.500000,144.149994,144.149994,7841803
2018-04-24,143.500000,144.550003,141.399994,141.850006,141.850006,4991672
2018-04-25,140.449997,141.600006,135.600006,136.350006,136.350006,10722775
2018-04-26,136.350006,138.199997,135.250000,137.350006,137.350006,8328731
2018-04-27,138.000000,145.300003,137.000000,143.199997,143.199997,13900165
2018-04-30,144.949997,149.850006,143.050003,148.949997,148.949997,13735085
2018-05-02,147.500000,149.000000,143.199997,144.300003,144.300003,8232020
2018-05-03,144.550003,144.850006,140.500000,143.050003,143.050003,8591667
2018-05-04,142.350006,146.399994,139.100006,139.899994,139.899994,11845370
2018-05-07,141.699997,144.649994,141.100006,143.550003,143.550003,8843289
2018-05-08,144.100006,149.449997,141.550003,145.600006,145.600006,15834407
2018-05-09,145.050003,145.699997,142.300003,144.300003,144.300003,9808289
2018-05-10,145.649994,145.649994,138.000000,138.649994,138.649994,10669964
2018-05-11,139.550003,143.649994,137.100006,142.699997,142.699997,11673210
2018-05-14,141.850006,144.649994,141.100006,142.699997,142.699997,6675636
2018-05-15,142.500000,144.199997,138.899994,139.649994,139.649994,9060878
2018-05-16,138.300003,138.949997,131.500000,132.050003,132.050003,18022426
2018-05-17,132.000000,133.100006,129.199997,130.000000,130.000000,15616895
2018-05-18,130.800003,130.800003,125.250000,126.699997,126.699997,12109019
2018-05-21,127.949997,131.800003,126.150002,129.899994,129.899994,11517584
2018-05-22,129.649994,134.750000,126.650002,132.899994,132.899994,14601997
2018-05-23,131.699997,140.899994,131.399994,136.600006,136.600006,23713478
2018-05-24,137.750000,140.649994,135.050003,138.850006,138.850006,13046640
2018-05-25,139.000000,144.199997,139.000000,141.300003,141.300003,12300751
2018-05-28,142.500000,148.500000,140.350006,145.399994,145.399994,24833790
2018-05-29,144.000000,145.449997,139.550003,140.399994,140.399994,12773006
2018-05-30,138.899994,142.000000,137.550003,138.449997,138.449997,17044430
2018-05-31,139.100006,139.850006,135.800003,136.850006,136.850006,13116608
2018-06-01,137.649994,138.500000,134.750000,136.949997,136.949997,11437804
2018-06-04,137.500000,137.899994,131.000000,131.550003,131.550003,22267362
2018-06-05,131.899994,132.850006,126.449997,127.750000,127.750000,21462369
2018-06-06,127.000000,131.100006,126.300003,130.250000,130.250000,25559290
2018-06-07,131.250000,133.649994,129.600006,131.399994,131.399994,17885218
2018-06-08,130.600006,133.199997,129.750000,132.250000,132.250000,17691484
2018-06-11,133.149994,136.000000,132.149994,133.699997,133.699997,13389907
2018-06-12,134.000000,134.649994,132.350006,133.350006,133.350006,16578037
2018-06-13,133.949997,138.250000,133.750000,136.750000,136.750000,16382863
2018-06-14,137.149994,137.149994,134.649994,135.149994,135.149994,12368015
2018-06-15,134.850006,136.149994,130.350006,131.300003,131.300003,11776063
2018-06-18,131.000000,131.300003,129.199997,130.399994,130.399994,9736608
2018-06-19,129.899994,131.750000,127.250000,127.849998,127.849998,12733048
2018-06-20,127.500000,128.399994,124.699997,125.099998,125.099998,22227705
2018-06-21,125.699997,125.900002,121.500000,122.000000,122.000000,16021753
2018-06-22,122.099998,122.800003,120.449997,121.500000,121.500000,17477101
2018-06-25,121.449997,122.000000,116.500000,116.800003,116.800003,11480804
2018-06-26,116.500000,119.099998,115.000000,118.050003,118.050003,18511633
2018-06-27,118.050003,118.050003,113.599998,115.150002,115.150002,15058571
2018-06-28,114.250000,116.300003,112.449997,113.000000,113.000000,11274714
2018-06-29,114.000000,115.150002,112.150002,112.650002,112.650002,14274242
2018-07-02,113.400002,115.449997,109.500000,113.650002,113.650002,19814242
2018-07-03,113.599998,114.650002,111.800003,113.000000,113.000000,12691360
2018-07-04,113.000000,113.800003,112.250000,113.099998,113.099998,8861062
2018-07-05,113.699997,114.500000,112.550003,113.250000,113.250000,9467902
2018-07-06,113.500000,116.750000,113.099998,115.550003,115.550003,13020139
2018-07-09,117.000000,117.699997,115.199997,117.000000,117.000000,9043165
2018-07-10,117.800003,121.099998,116.650002,119.500000,119.500000,11116786
2018-07-11,119.000000,119.199997,115.500000,116.199997,116.199997,10310176
2018-07-12,117.199997,120.150002,117.199997,119.449997,119.449997,13717600
2018-07-13,119.699997,119.699997,114.050003,117.400002,117.400002,13197199
2018-07-16,116.750000,117.300003,112.000000,113.050003,113.050003,8610590
2018-07-17,112.800003,121.800003,111.900002,120.800003,120.800003,13191590
2018-07-18,121.000000,122.300003,115.250000,117.650002,117.650002,13308355
2018-07-19,118.000000,122.949997,114.699997,120.050003,120.050003,19394155
2018-07-20,118.599998,121.650002,117.699997,120.250000,120.250000,10768295
2018-07-23,120.500000,127.000000,119.199997,126.300003,126.300003,17651707
2018-07-24,125.050003,134.500000,125.050003,132.550003,132.550003,23818086
2018-07-25,132.550003,134.899994,130.500000,131.800003,131.800003,14846115
2018-07-26,133.500000,140.300003,133.000000,138.850006,138.850006,28428745
2018-07-27,138.899994,140.899994,135.399994,137.850006,137.850006,27335018
2018-07-30,149.000000,153.300003,144.649994,152.050003,152.050003,69716569
2018-07-31,152.149994,155.699997,148.300003,153.350006,153.350006,30975324
2018-08-01,151.399994,153.649994,147.699997,150.199997,150.199997,24904453
2018-08-02,147.949997,149.800003,146.199997,147.250000,147.250000,14029282
2018-08-03,147.250000,150.850006,147.050003,149.600006,149.600006,13329914
2018-08-06,150.000000,152.149994,149.399994,150.550003,150.550003,13628825
2018-08-07,151.000000,151.250000,144.800003,146.149994,146.149994,14426507
2018-08-08,146.300003,149.800003,146.000000,148.600006,148.600006,10390322
2018-08-09,150.500000,157.500000,148.850006,154.750000,154.750000,26562716
2018-08-10,153.750000,155.500000,147.600006,148.300003,148.300003,17027336
2018-08-13,146.000000,149.399994,144.399994,145.649994,145.649994,16135497
2018-08-14,147.000000,148.649994,145.550003,146.300003,146.300003,9480376
2018-08-16,145.500000,147.600006,141.449997,142.699997,142.699997,13666075
2018-08-17,143.850006,147.750000,142.949997,146.199997,146.199997,12400330
2018-08-20,147.000000,151.500000,146.250000,151.000000,151.000000,10467382
2018-08-21,153.399994,155.000000,150.199997,150.899994,150.899994,16772616
2018-08-23,151.399994,151.750000,148.500000,149.850006,149.850006,9846020
2018-08-24,148.449997,151.699997,146.649994,147.399994,147.399994,9847399
2018-08-27,149.000000,152.600006,148.500000,150.050003,150.050003,11140288
2018-08-28,151.300003,151.300003,142.649994,143.850006,143.850006,14983300
2018-08-29,144.500000,149.649994,143.250000,147.699997,147.699997,19655498
2018-08-30,147.399994,151.199997,145.649994,150.149994,150.149994,15041815
2018-08-31,149.050003,153.449997,147.199997,152.949997,152.949997,19943774
2018-09-03,153.949997,156.500000,150.899994,151.699997,151.699997,16081701
2018-09-04,151.300003,152.300003,144.500000,145.550003,145.550003,13746105
2018-09-05,145.399994,146.550003,140.500000,144.550003,144.550003,12672028
2018-09-06,145.899994,147.100006,144.149994,146.100006,146.100006,10475666
2018-09-07,146.649994,148.500000,144.699997,148.050003,148.050003,10950716
2018-09-10,146.949997,150.000000,145.449997,146.600006,146.600006,12612864
2018-09-11,148.000000,149.350006,139.350006,140.500000,140.500000,17009872
2018-09-12,140.500000,140.750000,132.649994,133.550003,133.550003,34431935
2018-09-14,135.750000,136.649994,134.000000,134.399994,134.399994,21913127
2018-09-17,133.050003,135.850006,131.000000,135.250000,135.250000,18967228
2018-09-18,121.750000,126.449997,111.849998,113.099998,113.099998,144891921
2018-09-19,112.000000,119.000000,110.150002,116.349998,116.349998,117771556
2018-09-21,117.500000,119.400002,105.849998,111.449997,111.449997,46559986
2018-09-24,112.500000,113.000000,106.900002,107.699997,107.699997,30112522
2018-09-25,107.699997,110.449997,104.550003,109.449997,109.449997,39581226
2018-09-26,110.949997,111.250000,107.400002,109.150002,109.150002,25692758
2018-09-27,108.500000,109.699997,103.800003,104.349998,104.349998,18303251
2018-09-28,105.150002,106.800003,97.349998,99.500000,99.500000,33044144
2018-10-01,99.400002,105.250000,95.400002,104.400002,104.400002,29563711
2018-10-03,102.199997,107.650002,101.800003,103.300003,103.300003,30440427
2018-10-04,101.500000,105.349998,100.349998,103.349998,103.349998,22401811
2018-10-05,102.900002,104.199997,97.550003,99.099998,99.099998,38298074
2018-10-08,100.000000,100.500000,95.300003,97.500000,97.500000,28957630
2018-10-09,98.900002,99.099998,92.650002,93.250000,93.250000,24069650
2018-10-10,93.750000,96.800003,92.800003,95.599998,95.599998,37419473
2018-10-11,91.949997,95.300003,91.000000,93.949997,93.949997,22648997
2018-10-12,96.900002,97.750000,94.800003,96.500000,96.500000,23768732
2018-10-15,96.050003,98.050003,95.400002,97.349998,97.349998,14955267
2018-10-16,97.550003,101.199997,97.400002,100.250000,100.250000,21139482
2018-10-17,102.449997,102.650002,98.750000,99.599998,99.599998,22282115
2018-10-19,98.900002,103.199997,97.500000,102.400002,102.400002,25230698
2018-10-22,103.650002,105.400002,101.449997,102.599998,102.599998,18193081
2018-10-23,101.400002,103.650002,100.949997,101.699997,101.699997,11600993
2018-10-24,102.699997,103.449997,100.949997,102.650002,102.650002,11710626
2018-10-25,101.000000,102.800003,97.900002,98.449997,98.449997,17653402
2018-10-26,99.300003,101.599998,97.849998,98.849998,98.849998,19408496
2018-10-29,99.099998,107.699997,98.199997,107.099998,107.099998,25921189
2018-10-30,107.699997,113.699997,105.849998,110.000000,110.000000,51240583
2018-10-31,114.699997,114.750000,109.849998,110.650002,110.650002,50580445
2018-11-01,111.699997,111.849998,107.050003,107.699997,107.699997,25819979
2018-11-02,108.900002,113.449997,108.400002,109.900002,109.900002,38112597
2018-11-05,110.000000,112.500000,108.699997,111.199997,111.199997,18802509
2018-11-06,112.250000,112.650002,109.849998,110.449997,110.449997,17283224
2018-11-09,111.000000,113.250000,110.400002,111.500000,111.500000,14599759
2018-11-12,111.500000,111.949997,108.849998,109.400002,109.400002,10558393
2018-11-13,108.900002,109.250000,106.400002,108.699997,108.699997,14242170
2018-11-16,113.449997,116.300003,110.050003,115.199997,115.199997,24404681
